"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"MF";"MP";"PACKAGE";"POPULARITY";"PRICE";
"BAT";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"98";"";
"C1";"0.1 uF";"C-US050-024X044";"C050-024X044";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C2";"0.1 uF";"C-US050-024X044";"C050-024X044";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C3";"0.1 uF ";"C-US050-024X044";"C050-024X044";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C4";"100 uF";"CPOL-USE5-5";"E5-5";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C5";"100 uF";"CPOL-USE5-5";"E5-5";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"CHG";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"98";"";
"DIODE";"1N4001";"DIODEDO-1N4148";"DO-1N4148";"Diode";"";"";"";"";"";"";"";"";"";
"IR";"TCRT5000L";"TCRT5000L";"XDCR_TCRT5000L";"TCRT5000 Series 940 nm 100 mA 60 mA Transistor Output Reflective Optical Sensor";"Unavailable";" Photointerrupter Reflective Phototransistor 4-Pin Tube ";"";"";"Vishay";"TCRT5000L";"PCB Mount Vishay Semiconductor";"";"None";
"LDR1";"A1050_14";"A1050_14";"T0-46-A10XX";"Sensor Robust Light Sensing Applications";"";"";"";"";"";"";"";"0";"";
"LDR2";"A1050_14";"A1050_14";"T0-46-A10XX";"Sensor Robust Light Sensing Applications";"";"";"";"";"";"";"";"0";"";
"LED1";"WS2812B5050";"WS2812B5050";"WS2812B";"";"Unavailable";" Intelligent Control Led Integrated Light Source Pack Of 10 ";"";"";"SparkFun Electronics";"WS2812B";"None";"";"None";
"MOT1";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"98";"";
"MOT2";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"98";"";
"R2";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R3";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R4";"1k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R5";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R6";"1k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R7";"1k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R8";"150";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R9";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"SWITCH";"";"J2X2MM";"04C";"Jumper switch 2 x 2.5 mm";"";"";"";"";"";"";"";"4";"";
"T1";"2N3904";"2N3904";"TO92";"NPN TRANSISTOR";"";"";"";"";"";"";"";"27";"";
"T2";"2N3904";"2N3904";"TO92";"NPN TRANSISTOR";"";"";"";"";"";"";"";"27";"";
"U1";"ATTINY85-20PU";"ATTINY85-20PU";"DIP254P762X533-8";"8-bit Microcontroller with In-System Programmable Flash";"Unavailable";" ATtiny Series 20 MHz 8 KB Flash 512 B SRAM 8-Bit Microcontroller - DIP-8 ";"";"";"Microchip";"ATTINY85-20PU";"DIP-8 Microchip";"";"None";
"Z1";"NZX4V3C";"BZX55C10";"DIOAD950W60L350D150";"Zener diode, 10V, 500mW, DO-35";"";" BZX55 Series 10 V ±5 % 500 mW Through Hole Small Signal Zener Diode - DO-35 ";"BZX55C10-GICT-ND";"https://www.digikey.hk/product-detail/en/vishay-semiconductor-diodes-division/BZX55C10-TR/BZX55C10-GICT-ND/6228440?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol";"Vishay Semiconductor";"BZX55C10-TR";"DO-35 Vishay Semiconductor";"";"";
